frame,original,ocr_result,confidence,is_different
591,28 40,28,1.0,True
592,28 40,28,1.0,True
593,28 40,28,1.0,True
594,28 40,28,1.0,True
595,28 40,28,1.0,True
596,28 40,28,1.0,True
597,28 40,28,1.0,True
598,28 40,28,1.0,True
599,28 40,28,1.0,True
600,28 40,28,1.0,True
601,28 40,28,1.0,True
602,28 40,28,1.0,True
603,28 40,28,1.0,True
604,28 40,28,1.0,True
605,28 40,28,1.0,True
606,28 40,28,1.0,True
607,28 40,28,1.0,True
608,28 40,28,1.0,True
609,28 40,28,1.0,True
610,28 40,28,1.0,True
611,28 40,28,1.0,True
612,28 40,28,1.0,True
613,28 40,28,1.0,True
614,28 40,28,1.0,True
615,28 40,28,1.0,True
616,28 40,28,1.0,True
617,28 40,28,1.0,True
618,28 40,28,1.0,True
619,28 40,28,1.0,True
620,28 40,28,1.0,True
621,28 40,28,1.0,True
622,28 40,28,1.0,True
623,28 40,28,1.0,True
624,28 40,28,1.0,True
625,28 40,28,1.0,True
626,28 40,28,1.0,True
627,28 40,28,1.0,True
628,28 40,28,1.0,True
629,28 40,28,1.0,True
630,28 40,28,1.0,True
631,28 40,28,1.0,True
632,28 40,28,1.0,True
633,28 40,28,1.0,True
634,28 40,28,1.0,True
635,28 40,28,1.0,True
636,28 40,28,1.0,True
637,28 40,28,1.0,True
638,28 40,28,1.0,True
639,28 40,28,1.0,True
640,28 40,28,1.0,True
641,28 40,28,1.0,True
642,28 40,28,1.0,True
643,28 40,28,1.0,True
644,28 40,28,1.0,True
645,28 40,28,1.0,True
646,28 40,28,1.0,True
647,28 40,28,1.0,True
648,28 40,28,1.0,True
649,28 40,28,1.0,True
650,28 40,28,1.0,True
651,28 40,28,1.0,True
652,28 40,28,1.0,True
653,28 40,28,1.0,True
654,28 40,28,1.0,True
655,28 40,28,1.0,True
656,28 40,28,1.0,True
657,28 40,28,1.0,True
658,28 40,28,1.0,True
659,28 40,28,1.0,True
660,28 40,28,1.0,True
661,28 40,28,1.0,True
662,28 40,28,1.0,True
663,28 40,28,1.0,True
664,28 40,28,1.0,True
665,28 40,28,1.0,True
666,28 40,28,1.0,True
667,28 40,28,1.0,True
668,28 40,28,1.0,True
669,28 40,28,1.0,True
670,28 40,28,1.0,True
